Sr No,Service,Code,Type,Disc,BA Disc,Disc Type,Start With,Min Len,Max Len,Min Amt,Max Amt,Remarks,Status
112,AIRTEL J&K,JRJ,Mobile Recharge,0,0,%,*,0,0,1,10000,,Active
113,BSNL TOPUP ( J&K ),JKT,Mobile Recharge,0,0,%,*,0,0,10,10000,,Active
114,BSNL SPECIAL ( J&K ),JKS,Mobile Recharge,0,0,%,*,0,0,10,10000,,Active
115,KESCO - KANPUR,KUE,Electricity Bill,0,0,%,*,0,0,1,10000,,Active
116,CONNECT BROADBAND,CBB,Broadband Bill,0,0,%,*,0,0,1,10000,,Active
117,HATHWAY BROADBAND,HBB,Broadband Bill,0,0,%,*,0,0,1,10000,,Active
118,CONNECT BROADBAND INTERNET BILL,CBD,Internet Bill,0,0,%,*,0,0,1,10000,,Active
119,SIKKIM POWER (URBAN),SUE,Electricity Bill,0,0,%,*,0,0,1,10000,,Active
120,MESCOM - MANGALORE (RAPDRP),MSE,Electricity Bill,0,0,%,*,0,0,1,10000,,Active
121,KSEBL - KERALA,KSE,Electricity Bill,0,0,%,*,0,0,1,10000,,Active
122,DEPARTMENT OF POWER - NAGALAND,NNE,Electricity Bill,0,0,%,*,0,0,1,10000,,Active
123,ELECTRICITY DEPARTMENT CHANDIGARH,ECE,Electricity Bill,3,0,%,*,0,0,1,10000,,Active
124,CESU - ODISHA,COE,Electricity Bill,0,0,%,*,0,0,1,99999,,Active
125,BAJAJ FINANCE,BRL,Loan Installment,0,0,%,*,14,18,1,99999,,Active
126,UJJAIN NAGAR NIGAM - PHED,UMW,Water Bill,0,0,%,*,0,0,1,10000,,Active
127,GOOGLE PLAY RECHARGE,GPC,Mobile Recharge,1,0,%,*,0,0,1,10000,,Active
128,APSPDCL-SOUTHERN POWER DISTRIBUTION CO AP LTD,ASE,Electricity Bill,0,0,%,*,0,0,1,10000,,Active
129,TP CENTRAL ODISHA DISTRIBUTION LTD,TLE,Electricity Bill,0,0,%,*,0,0,1,10000,,Active
130,IDFC FIRST BANK,IFL,Loan Installment,0,0,%,*,0,0,1,10000,,Active
131,LIC,LIC,Insurance,0,0,%,*,0,0,1,50000,,Active
132,INDUSIND BANK FASTAG,BFT,Loan Installment,0,0,%,*,0,0,1,10000,,Active
